AGG,VNQ
112.79,90.96
112.64,90.85
113.05,90.61
112.89,90.74
113.24,89.36
113.76,90.25
113.67,91.18
113.37,91.84
113.68,91.19
113.62,91.57
113.32,91.99
113.78,90.7
113.73,91.4
114.09,91.14
114.1,91.44
114.03,92.15
114.13,92.22
113.84,93.14
114.04,93.92
113.55,93.24
113.67,93.45
113.19,93.0
112.58,92.04
112.6,92.14
112.42,92.63
111.75,91.64
112.05,92.44
112.22,93.44
112.35,93.12
112.51,93.45
112.92,93.45
112.97,93.6
113.28,92.65
112.81,92.83
113.0,93.61
113.14,93.09
113.17,93.25
113.12,92.37
113.2,91.98
113.64,92.87
113.82,93.43
113.51,93.23
113.55,92.74
